user_id,gender,age_id,age_range,occupation_id,occupation,cp
88,F,45,45-49,1,academic/educator,02476
89,F,56,56+,9,homemaker,85749
90,M,56,56+,13,retired,85749
91,M,35,35-44,7,executive/managerial,07650
92,F,18,18-24,4,college/grad student,44243
93,M,25,25-34,17,technician/engineer,95825
94,M,25,25-34,17,technician/engineer,28601
95,M,45,45-49,0,other or not specified,98201
96,F,25,25-34,16,self-employed,78028
97,F,35,35-44,3,clerical/admin,66210
98,F,35,35-44,7,executive/managerial,33547
99,F,1,Under 18,10,K-12 student,19390
100,M,35,35-44,17,technician/engineer,95401
101,F,18,18-24,3,clerical/admin,33314
102,M,35,35-44,19,unemployed,20871
103,M,45,45-49,7,executive/managerial,92104
104,M,25,25-34,12,programmer,00926
105,M,45,45-49,12,programmer,90277
106,F,35,35-44,11,lawyer,79101
107,M,45,45-49,18,tradesman/craftsman,63129
108,M,25,25-34,12,programmer,30316
109,M,45,45-49,15,scientist,92028
110,M,25,25-34,2,artist,90803
111,M,35,35-44,15,scientist,55416
112,M,25,25-34,16,self-employed,97209
113,M,18,18-24,12,programmer,37032
114,F,25,25-34,2,artist,83712
115,M,25,25-34,17,technician/engineer,28083
116,M,25,25-34,17,technician/engineer,55744
117,M,25,25-34,17,technician/engineer,33314
118,M,35,35-44,17,technician/engineer,22315
119,F,1,Under 18,10,K-12 student,77515
120,M,25,25-34,11,lawyer,27106
121,M,35,35-44,7,executive/managerial,75229
122,F,18,18-24,4,college/grad student,94305
123,M,35,35-44,9,homemaker,67208
124,M,56,56+,7,executive/managerial,91356
125,M,45,45-49,14,sales/marketing,01701
126,M,18,18-24,9,homemaker,98117
127,F,45,45-49,3,clerical/admin,01770
128,M,56,56+,6,doctor/health care,37922
129,M,25,25-34,11,lawyer,20164
130,M,35,35-44,17,technician/engineer,50021
131,M,18,18-24,4,college/grad student,06520
132,M,25,25-34,17,technician/engineer,99709
133,F,25,25-34,0,other or not specified,55071
134,M,25,25-34,0,other or not specified,66212
135,M,18,18-24,4,college/grad student,20006
136,M,18,18-24,2,artist,21202
137,F,45,45-49,6,doctor/health care,78758
138,M,18,18-24,20,writer,22203
139,F,25,25-34,20,writer,45409
140,F,35,35-44,1,academic/educator,55107
141,M,35,35-44,13,retired,62035
142,M,25,25-34,7,executive/managerial,10011
143,M,18,18-24,3,clerical/admin,64043
144,M,25,25-34,17,technician/engineer,29401
145,M,18,18-24,4,college/grad student,19081
146,F,35,35-44,20,writer,10954
147,M,18,18-24,4,college/grad student,91360
148,M,50,50-55,17,technician/engineer,57747
149,M,25,25-34,1,academic/educator,29205
150,M,35,35-44,7,executive/managerial,98144
151,F,25,25-34,20,writer,85013
152,M,18,18-24,4,college/grad student,48104
153,M,1,Under 18,10,K-12 student,51537
154,M,50,50-55,20,writer,94530
155,M,35,35-44,12,programmer,07470
156,F,45,45-49,7,executive/managerial,14519
157,M,35,35-44,16,self-employed,12866
158,M,56,56+,7,executive/managerial,28754
159,F,45,45-49,0,other or not specified,37922
160,M,35,35-44,7,executive/managerial,13021
161,M,45,45-49,16,self-employed,98107-2117
162,F,18,18-24,4,college/grad student,93117
163,M,18,18-24,4,college/grad student,85013
164,F,56,56+,13,retired,94566
165,M,18,18-24,16,self-employed,98502
166,M,18,18-24,4,college/grad student,92802
167,F,25,25-34,11,lawyer,10022
168,F,50,50-55,0,other or not specified,46970
169,M,25,25-34,7,executive/managerial,55439
170,M,25,25-34,11,lawyer,07002
171,F,50,50-55,17,technician/engineer,55441
172,M,25,25-34,3,clerical/admin,07661
173,M,25,25-34,0,other or not specified,45237
174,M,25,25-34,16,self-employed,21203
175,F,25,25-34,2,artist,95123
176,F,18,18-24,3,clerical/admin,55016
177,M,50,50-55,1,academic/educator,54016
178,M,56,56+,17,technician/engineer,53705
179,M,25,25-34,0,other or not specified,02135
180,M,45,45-49,12,programmer,01603
181,M,18,18-24,17,technician/engineer,33186
182,M,18,18-24,4,college/grad student,03052
183,F,45,45-49,1,academic/educator,55407
184,F,25,25-34,0,other or not specified,19001
185,M,45,45-49,0,other or not specified,14468
186,M,18,18-24,5,customer service,91767
187,F,45,45-49,1,academic/educator,94061
188,M,56,56+,16,self-employed,79930
189,M,18,18-24,0,other or not specified,60076
190,M,25,25-34,17,technician/engineer,55125
191,M,18,18-24,4,college/grad student,04915
192,M,18,18-24,1,academic/educator,10977
193,F,45,45-49,15,scientist,44106
194,F,1,Under 18,10,K-12 student,29146
195,M,25,25-34,12,programmer,10458
196,F,35,35-44,9,homemaker,94587
197,M,18,18-24,14,sales/marketing,10023
198,M,25,25-34,12,programmer,55108
199,M,18,18-24,4,college/grad student,83706
200,F,18,18-24,4,college/grad student,84321
201,F,35,35-44,2,artist,55117
202,M,18,18-24,4,college/grad student,53706
203,F,18,18-24,4,college/grad student,53715
204,M,25,25-34,7,executive/managerial,92123
205,M,35,35-44,12,programmer,97333
206,M,25,25-34,17,technician/engineer,20194
207,M,25,25-34,12,programmer,94115
208,M,35,35-44,17,technician/engineer,55432
209,M,35,35-44,1,academic/educator,90048
210,F,1,Under 18,10,K-12 student,25801
211,M,45,45-49,17,technician/engineer,90620
212,M,25,25-34,16,self-employed,53714
213,F,18,18-24,4,college/grad student,01609
214,M,18,18-24,20,writer,80218
215,M,35,35-44,14,sales/marketing,92075
216,M,45,45-49,13,retired,52761
217,M,18,18-24,4,college/grad student,22903
218,M,35,35-44,14,sales/marketing,95822
219,F,25,25-34,4,college/grad student,55113
220,M,25,25-34,12,programmer,22903
221,F,25,25-34,0,other or not specified,94063
222,M,25,25-34,1,academic/educator,55116
223,M,25,25-34,17,technician/engineer,28262
224,F,18,18-24,4,college/grad student,14850
225,M,25,25-34,7,executive/managerial,11215
226,M,35,35-44,1,academic/educator,94518
227,M,35,35-44,20,writer,90291
228,M,25,25-34,15,scientist,55455
229,M,18,18-24,10,K-12 student,04576
230,M,45,45-49,1,academic/educator,43210
231,M,25,25-34,3,clerical/admin,55455
232,M,25,25-34,20,writer,55408
233,F,45,45-49,20,writer,37919-4204
234,M,35,35-44,7,executive/managerial,39652
235,M,25,25-34,0,other or not specified,98153
236,M,25,25-34,5,customer service,55126
237,M,25,25-34,6,doctor/health care,46835
238,F,50,50-55,7,executive/managerial,90291
239,M,18,18-24,19,unemployed,94618
240,M,50,50-55,17,technician/engineer,55113
241,M,35,35-44,20,writer,55121
242,F,18,18-24,4,college/grad student,53706
243,M,25,25-34,16,self-employed,11576
244,M,50,50-55,7,executive/managerial,19072
245,M,35,35-44,16,self-employed,66046
246,F,18,18-24,4,college/grad student,60625
247,M,25,25-34,17,technician/engineer,94404
248,M,18,18-24,17,technician/engineer,72703
249,F,18,18-24,14,sales/marketing,48126
250,M,35,35-44,16,self-employed,11229
251,M,56,56+,17,technician/engineer,55105
252,M,25,25-34,12,programmer,94112
253,F,25,25-34,11,lawyer,97370
254,M,35,35-44,17,technician/engineer,49015
255,M,35,35-44,0,other or not specified,85310
256,M,45,45-49,16,self-employed,55076
257,M,18,18-24,18,tradesman/craftsman,55113
258,M,25,25-34,7,executive/managerial,55436
259,M,25,25-34,1,academic/educator,60615
260,M,18,18-24,19,unemployed,98126
261,M,25,25-34,20,writer,75801
262,F,25,25-34,1,academic/educator,68503
263,F,25,25-34,7,executive/managerial,22304
264,M,35,35-44,0,other or not specified,20755
265,F,35,35-44,7,executive/managerial,55116
266,M,35,35-44,11,lawyer,75229
267,M,45,45-49,12,programmer,55001
268,F,18,18-24,12,programmer,29708
269,M,25,25-34,2,artist,55408
270,M,50,50-55,14,sales/marketing,55414
271,M,18,18-24,4,college/grad student,48202
272,M,18,18-24,0,other or not specified,80302
273,M,18,18-24,4,college/grad student,55427
274,M,18,18-24,4,college/grad student,55455
275,M,25,25-34,0,other or not specified,48162
276,M,45,45-49,16,self-employed,01982
277,F,35,35-44,1,academic/educator,98126
278,M,45,45-49,18,tradesman/craftsman,60482
279,M,25,25-34,14,sales/marketing,91214
280,M,50,50-55,7,executive/managerial,19118
281,F,35,35-44,0,other or not specified,94117
282,M,25,25-34,17,technician/engineer,94401
283,M,25,25-34,0,other or not specified,10003
284,M,25,25-34,12,programmer,91910
285,F,35,35-44,0,other or not specified,94109
286,M,25,25-34,1,academic/educator,54601
287,M,50,50-55,13,retired,94706
288,F,25,25-34,12,programmer,97119
289,F,25,25-34,0,other or not specified,11801
290,F,25,25-34,20,writer,94591
291,M,35,35-44,12,programmer,55110
292,M,35,35-44,7,executive/managerial,19406
293,M,56,56+,1,academic/educator,55337-4056
294,F,45,45-49,9,homemaker,43147
295,M,18,18-24,0,other or not specified,80203
296,M,50,50-55,5,customer service,89432
297,M,18,18-24,2,artist,97211
298,F,18,18-24,4,college/grad student,19010
299,M,25,25-34,12,programmer,97370
300,M,25,25-34,7,executive/managerial,78664
301,M,18,18-24,4,college/grad student,61820
302,M,18,18-24,4,college/grad student,04901
303,M,25,25-34,7,executive/managerial,20006
304,M,25,25-34,0,other or not specified,55414
305,F,18,18-24,0,other or not specified,55414
306,M,18,18-24,0,other or not specified,53051
307,M,50,50-55,16,self-employed,90027
308,M,25,25-34,2,artist,10025
309,M,25,25-34,4,college/grad student,16801
310,F,18,18-24,4,college/grad student,31207
311,M,18,18-24,4,college/grad student,31201
312,F,50,50-55,2,artist,22207
313,F,18,18-24,4,college/grad student,02138
314,F,56,56+,9,homemaker,46911
315,F,56,56+,1,academic/educator,55105
316,M,56,56+,13,retired,90740
317,M,35,35-44,7,executive/managerial,38555
318,F,56,56+,13,retired,55104
319,F,50,50-55,6,doctor/health care,33436
320,M,35,35-44,6,doctor/health care,99516
321,M,18,18-24,4,college/grad student,55128
322,M,56,56+,17,technician/engineer,55117
323,M,45,45-49,12,programmer,53716
324,M,35,35-44,17,technician/engineer,55106
325,F,50,50-55,3,clerical/admin,55112
326,M,50,50-55,11,lawyer,25302
327,M,35,35-44,18,tradesman/craftsman,55448
328,M,35,35-44,12,programmer,80401
329,M,35,35-44,7,executive/managerial,02115
330,M,56,56+,7,executive/managerial,92065
331,M,25,25-34,7,executive/managerial,55902
332,M,50,50-55,1,academic/educator,55109
333,M,35,35-44,2,artist,55410
334,F,56,56+,2,artist,55113
335,M,35,35-44,18,tradesman/craftsman,55434
336,M,18,18-24,0,other or not specified,98765
337,M,18,18-24,19,unemployed,80205
338,M,35,35-44,7,executive/managerial,55116
339,M,50,50-55,7,executive/managerial,80207
340,F,25,25-34,3,clerical/admin,28001
341,F,56,56+,13,retired,92119
342,M,18,18-24,12,programmer,55076
343,F,35,35-44,3,clerical/admin,55127
344,M,35,35-44,14,sales/marketing,75034
345,M,25,25-34,12,programmer,94114
346,F,25,25-34,0,other or not specified,55110
347,F,56,56+,1,academic/educator,55305
348,M,50,50-55,7,executive/managerial,55110
349,M,1,Under 18,10,K-12 student,08035
350,M,45,45-49,20,writer,08035
351,M,18,18-24,4,college/grad student,55105
352,M,18,18-24,4,college/grad student,60115
353,F,35,35-44,7,executive/managerial,92625
354,M,35,35-44,1,academic/educator,55117
355,M,18,18-24,3,clerical/admin,55107
356,M,56,56+,20,writer,55101
357,M,18,18-24,0,other or not specified,98103
358,F,56,56+,1,academic/educator,20815
359,M,25,25-34,17,technician/engineer,55128
360,M,35,35-44,17,technician/engineer,28208
361,F,25,25-34,14,sales/marketing,94115
362,M,35,35-44,20,writer,55407
363,M,18,18-24,10,K-12 student,55419
364,F,35,35-44,1,academic/educator,46815
365,F,18,18-24,4,college/grad student,02138
366,M,50,50-55,15,scientist,55126
367,M,50,50-55,12,programmer,55421
368,M,25,25-34,0,other or not specified,90293
369,M,35,35-44,1,academic/educator,55110
370,M,18,18-24,17,technician/engineer,22304
371,M,18,18-24,4,college/grad student,02141
372,F,18,18-24,4,college/grad student,72227
373,F,25,25-34,2,artist,55347
374,F,35,35-44,14,sales/marketing,55346
375,M,25,25-34,2,artist,55106
376,M,35,35-44,1,academic/educator,80026
377,M,25,25-34,17,technician/engineer,55418
378,F,18,18-24,0,other or not specified,55105
379,F,35,35-44,1,academic/educator,54822
380,M,25,25-34,2,artist,92024
381,M,35,35-44,17,technician/engineer,89015
382,F,35,35-44,20,writer,66205
383,F,25,25-34,7,executive/managerial,78757
384,M,25,25-34,11,lawyer,55075
385,M,25,25-34,6,doctor/health care,68131
386,M,25,25-34,0,other or not specified,55408
387,F,35,35-44,7,executive/managerial,55111
388,F,25,25-34,0,other or not specified,10021
389,M,25,25-34,6,doctor/health care,68128
390,M,25,25-34,4,college/grad student,55405
391,M,45,45-49,11,lawyer,22122
392,M,18,18-24,7,executive/managerial,20037
393,M,35,35-44,17,technician/engineer,55402
394,M,18,18-24,0,other or not specified,55013
395,M,18,18-24,5,customer service,55104
396,M,25,25-34,1,academic/educator,56187
397,M,35,35-44,17,technician/engineer,22124
398,M,25,25-34,17,technician/engineer,55454
399,F,35,35-44,6,doctor/health care,55128
400,F,18,18-24,3,clerical/admin,55422
401,M,18,18-24,0,other or not specified,55129
402,M,25,25-34,11,lawyer,55427
403,M,18,18-24,4,college/grad student,02138
404,M,18,18-24,4,college/grad student,10128
405,M,56,56+,1,academic/educator,13077
406,M,25,25-34,20,writer,55105
407,M,18,18-24,17,technician/engineer,89503
408,M,25,25-34,11,lawyer,02143
409,M,18,18-24,12,programmer,55122
410,F,25,25-34,1,academic/educator,55417
411,F,45,45-49,1,academic/educator,43214
412,M,35,35-44,15,scientist,55117
413,M,25,25-34,11,lawyer,55409
414,M,25,25-34,0,other or not specified,55317
415,F,35,35-44,0,other or not specified,55406
416,M,45,45-49,14,sales/marketing,55076
417,F,25,25-34,0,other or not specified,50613
418,F,25,25-34,3,clerical/admin,54016
419,M,18,18-24,3,clerical/admin,55422
420,M,35,35-44,1,academic/educator,55406
421,F,45,45-49,3,clerical/admin,55125
422,M,56,56+,17,technician/engineer,55104
423,M,18,18-24,4,college/grad student,55455
424,M,25,25-34,17,technician/engineer,55112
425,M,25,25-34,12,programmer,55303
426,M,18,18-24,4,college/grad student,55455
427,M,35,35-44,12,programmer,55104
428,F,18,18-24,4,college/grad student,55455
429,M,18,18-24,0,other or not specified,54901
430,F,18,18-24,10,K-12 student,55306
431,M,18,18-24,10,K-12 student,55303
432,M,45,45-49,16,self-employed,55306
433,M,50,50-55,6,doctor/health care,55115
434,F,45,45-49,3,clerical/admin,98155
435,M,25,25-34,7,executive/managerial,55125
436,M,18,18-24,4,college/grad student,43023
437,M,35,35-44,17,technician/engineer,55030
438,M,18,18-24,11,lawyer,53705
439,M,35,35-44,14,sales/marketing,55129
440,M,56,56+,1,academic/educator,32940
441,M,35,35-44,1,academic/educator,55127
442,M,25,25-34,1,academic/educator,55105
443,M,25,25-34,3,clerical/admin,55421
444,M,56,56+,0,other or not specified,55108
445,M,45,45-49,12,programmer,55117
446,F,50,50-55,0,other or not specified,55042
447,F,45,45-49,11,lawyer,55105
448,M,25,25-34,17,technician/engineer,80123
449,M,25,25-34,7,executive/managerial,85037
450,M,45,45-49,1,academic/educator,24523
451,M,56,56+,13,retired,54720
452,M,50,50-55,17,technician/engineer,55117
453,M,18,18-24,4,college/grad student,55102
454,M,25,25-34,20,writer,55092
455,F,35,35-44,2,artist,55113
456,M,35,35-44,0,other or not specified,55105
457,M,18,18-24,4,college/grad student,54703
458,M,50,50-55,16,self-employed,55405-2546
459,F,18,18-24,4,college/grad student,55105
460,M,45,45-49,18,tradesman/craftsman,55313
461,M,50,50-55,7,executive/managerial,55075
462,M,18,18-24,16,self-employed,55416
463,M,25,25-34,7,executive/managerial,55105
464,F,18,18-24,4,college/grad student,55455
465,M,18,18-24,19,unemployed,94523
466,M,25,25-34,5,customer service,55405
467,F,35,35-44,3,clerical/admin,55075
468,F,1,Under 18,10,K-12 student,55082
469,M,35,35-44,6,doctor/health care,55122
470,F,1,Under 18,10,K-12 student,55068
471,M,35,35-44,7,executive/managerial,08904
472,M,35,35-44,0,other or not specified,55418
473,F,18,18-24,4,college/grad student,55112
474,M,25,25-34,17,technician/engineer,92126
475,F,25,25-34,2,artist,55421
476,M,35,35-44,0,other or not specified,55127
477,M,35,35-44,14,sales/marketing,55410
478,M,50,50-55,16,self-employed,55113
479,M,25,25-34,12,programmer,55042
480,F,18,18-24,4,college/grad student,55422
481,M,45,45-49,7,executive/managerial,55115
482,M,25,25-34,14,sales/marketing,55305
483,M,18,18-24,12,programmer,55105
484,F,1,Under 18,10,K-12 student,55104
485,M,56,56+,7,executive/managerial,55042
486,M,56,56+,0,other or not specified,91367
487,F,35,35-44,17,technician/engineer,55082
488,M,25,25-34,12,programmer,55107
489,M,18,18-24,4,college/grad student,55455
490,M,1,Under 18,10,K-12 student,55345
491,M,18,18-24,4,college/grad student,56043
492,M,25,25-34,12,programmer,55112
493,M,50,50-55,7,executive/managerial,55016
494,F,35,35-44,0,other or not specified,17870
495,M,18,18-24,10,K-12 student,55421
496,M,18,18-24,4,college/grad student,55455
497,F,25,25-34,17,technician/engineer,55412
498,M,35,35-44,17,technician/engineer,55113
499,F,25,25-34,1,academic/educator,55108
500,F,18,18-24,2,artist,55105
501,M,25,25-34,2,artist,55372
502,M,35,35-44,6,doctor/health care,55126
503,M,35,35-44,11,lawyer,73120
504,M,25,25-34,2,artist,17003
505,M,35,35-44,17,technician/engineer,37815
506,M,25,25-34,16,self-employed,55103-1006
507,F,25,25-34,0,other or not specified,55405
508,M,25,25-34,12,programmer,55418
509,M,25,25-34,2,artist,55125
510,M,18,18-24,12,programmer,55109
511,F,45,45-49,4,college/grad student,15232
512,M,35,35-44,0,other or not specified,55379
513,M,25,25-34,0,other or not specified,55119
514,M,25,25-34,2,artist,55113
515,M,25,25-34,1,academic/educator,55406
516,F,56,56+,14,sales/marketing,55033
517,F,25,25-34,14,sales/marketing,55408
518,F,35,35-44,12,programmer,75240
519,F,35,35-44,14,sales/marketing,55038
520,F,35,35-44,20,writer,55104
521,M,56,56+,7,executive/managerial,55105
522,M,25,25-34,12,programmer,55124
523,M,50,50-55,7,executive/managerial,55105
524,M,18,18-24,0,other or not specified,91320
525,M,35,35-44,6,doctor/health care,19027
526,M,45,45-49,17,technician/engineer,94806
527,F,25,25-34,2,artist,11201
528,F,18,18-24,17,technician/engineer,83843
529,M,35,35-44,12,programmer,92009
530,M,25,25-34,2,artist,10019
531,F,18,18-24,14,sales/marketing,22206
532,M,25,25-34,7,executive/managerial,94301
533,M,25,25-34,12,programmer,27514
534,M,25,25-34,15,scientist,55902
535,M,35,35-44,6,doctor/health care,95370
536,M,25,25-34,20,writer,01267
537,M,45,45-49,14,sales/marketing,07704
538,M,56,56+,16,self-employed,95407
539,M,25,25-34,2,artist,55103
540,M,18,18-24,1,academic/educator,15213
541,F,18,18-24,4,college/grad student,5849574
542,M,18,18-24,4,college/grad student,78705
543,M,25,25-34,5,customer service,55057
544,M,35,35-44,12,programmer,94538
545,M,35,35-44,17,technician/engineer,01890
546,F,25,25-34,0,other or not specified,37211
547,M,35,35-44,12,programmer,76109
548,F,35,35-44,16,self-employed,96860
549,M,25,25-34,6,doctor/health care,53217
550,M,45,45-49,8,farmer,21559
551,M,35,35-44,20,writer,55116
552,M,50,50-55,18,tradesman/craftsman,23456
553,M,25,25-34,2,artist,94131
554,M,25,25-34,12,programmer,94086
555,M,18,18-24,4,college/grad student,53213
556,F,25,25-34,9,homemaker,37221
557,M,56,56+,1,academic/educator,30030
558,M,35,35-44,20,writer,55108
559,F,25,25-34,7,executive/managerial,60422
560,M,45,45-49,15,scientist,81335
561,F,18,18-24,14,sales/marketing,64060
562,M,35,35-44,20,writer,48083
563,M,25,25-34,4,college/grad student,53703
564,M,45,45-49,1,academic/educator,49419
565,M,25,25-34,16,self-employed,45242
566,M,25,25-34,17,technician/engineer,92122
567,M,35,35-44,20,writer,52570-9634
568,F,50,50-55,17,technician/engineer,19716
569,F,18,18-24,4,college/grad student,97339
570,M,25,25-34,4,college/grad student,33314
571,M,50,50-55,5,customer service,95401
572,M,18,18-24,4,college/grad student,61801
573,F,35,35-44,2,artist,98119
574,M,25,25-34,19,unemployed,90214
575,M,25,25-34,12,programmer,92130
576,F,45,45-49,15,scientist,20910
577,M,35,35-44,0,other or not specified,02115
578,M,18,18-24,17,technician/engineer,90064
579,M,25,25-34,5,customer service,32839
580,M,1,Under 18,10,K-12 student,08534
581,M,50,50-55,14,sales/marketing,73543
582,M,18,18-24,4,college/grad student,67042
583,F,25,25-34,0,other or not specified,48067
584,F,25,25-34,0,other or not specified,94403
585,M,18,18-24,1,academic/educator,53703
586,M,35,35-44,14,sales/marketing,53092
587,M,25,25-34,20,writer,92649
588,F,25,25-34,11,lawyer,23220
589,M,18,18-24,2,artist,90210
590,F,35,35-44,6,doctor/health care,98032
591,M,25,25-34,0,other or not specified,76201
592,M,18,18-24,0,other or not specified,92103
593,F,50,50-55,1,academic/educator,91711
594,F,56,56+,13,retired,60076
595,M,25,25-34,7,executive/managerial,10019
596,F,25,25-34,1,academic/educator,01950
597,M,35,35-44,12,programmer,80206
598,M,35,35-44,7,executive/managerial,95476
599,M,50,50-55,6,doctor/health care,53711
600,M,35,35-44,17,technician/engineer,66209
601,F,18,18-24,20,writer,06320
602,F,56,56+,6,doctor/health care,14612
603,F,25,25-34,6,doctor/health care,32256
604,M,45,45-49,17,technician/engineer,32256
605,F,18,18-24,4,college/grad student,44425
606,F,1,Under 18,10,K-12 student,49507
607,M,25,25-34,0,other or not specified,43614
608,M,18,18-24,4,college/grad student,18011
609,M,25,25-34,7,executive/managerial,10012
610,M,25,25-34,4,college/grad student,77025
611,M,35,35-44,0,other or not specified,20715
612,M,50,50-55,7,executive/managerial,95020
613,M,35,35-44,20,writer,10562
614,M,35,35-44,1,academic/educator,90024
615,M,50,50-55,17,technician/engineer,32951
616,M,25,25-34,7,executive/managerial,94115
617,F,25,25-34,7,executive/managerial,92117
618,M,25,25-34,0,other or not specified,74105
619,F,18,18-24,1,academic/educator,94706
620,M,18,18-24,0,other or not specified,13210
621,M,18,18-24,4,college/grad student,93560
622,M,25,25-34,0,other or not specified,92612
623,M,25,25-34,17,technician/engineer,60555
624,M,25,25-34,1,academic/educator,75207
625,F,35,35-44,12,programmer,44106
626,M,18,18-24,4,college/grad student,77005
627,M,50,50-55,2,artist,97210
628,F,35,35-44,0,other or not specified,20715
629,F,1,Under 18,10,K-12 student,48154
630,F,35,35-44,14,sales/marketing,80525
631,M,35,35-44,17,technician/engineer,28601
632,M,45,45-49,17,technician/engineer,07649
633,M,25,25-34,17,technician/engineer,94131
634,F,1,Under 18,10,K-12 student,49512
635,M,56,56+,17,technician/engineer,33785
636,M,18,18-24,20,writer,92055
637,M,35,35-44,12,programmer,97132
638,M,25,25-34,6,doctor/health care,77584
639,M,45,45-49,17,technician/engineer,85202
640,M,18,18-24,4,college/grad student,47406
641,F,35,35-44,0,other or not specified,55116
642,F,35,35-44,1,academic/educator,78155
643,M,25,25-34,2,artist,23188
644,M,25,25-34,20,writer,93704
645,M,35,35-44,20,writer,11215
646,M,35,35-44,7,executive/managerial,08505
647,M,35,35-44,12,programmer,85224
648,F,25,25-34,12,programmer,94131
649,M,25,25-34,4,college/grad student,80526
650,M,25,25-34,17,technician/engineer,49445
651,M,35,35-44,7,executive/managerial,20895
652,M,18,18-24,20,writer,12222
653,M,56,56+,13,retired,92660
654,M,50,50-55,7,executive/managerial,75023
655,F,25,25-34,2,artist,92629
656,F,45,45-49,16,self-employed,92106
657,F,50,50-55,13,retired,34691
658,F,25,25-34,0,other or not specified,10021
659,F,25,25-34,0,other or not specified,28134
660,M,45,45-49,16,self-employed,70507
661,M,45,45-49,1,academic/educator,13114
662,M,18,18-24,4,college/grad student,99163
663,F,25,25-34,7,executive/managerial,12345
664,M,35,35-44,18,tradesman/craftsman,74601
665,M,18,18-24,2,artist,13317
666,F,18,18-24,0,other or not specified,08540
667,M,25,25-34,18,tradesman/craftsman,98438
668,F,25,25-34,3,clerical/admin,22042
669,M,25,25-34,17,technician/engineer,30307
670,M,25,25-34,12,programmer,30303
671,M,18,18-24,4,college/grad student,61761
672,M,35,35-44,7,executive/managerial,46845
673,M,25,25-34,20,writer,10023
674,M,25,25-34,17,technician/engineer,22042
