,amazon_product_url,author,description,publisher,title,oid,bestsellers_date.numberLong,published_date.numberLong,rank.numberInt,rank_last_week.numberInt,weeks_on_list.numberInt,price.numberDouble
17,http://www.amazon.com/The-Front-Garano-Patricia-Cornwell-ebook/dp/B0017T0C9M?tag=NYTBS-20,Patricia Cornwell,Descr: A Massachusetts state investigator and his team from “At Risk” confront a rogue association of municipal police departments.     ,Putnam,THE FRONT,5b4aa4ead3089013507db1a5,2008-05-31 00:00:00,1213488000000,7,4,2,22.95
18,http://www.amazon.com/Devil-Care-James-Bond-Novel/dp/0385524285?tag=NYTBS-20,Sebastian Faulks,Descr: This continuation of the James Bond franchise finds Bond tracking a dangerous pharmaceutical executive amid cold war tensions with the help of a beautiful girl.     ,Doubleday,DEVIL MAY CARE,5b4aa4ead3089013507db1a6,2008-05-31 00:00:00,1213488000000,8,0,1,24.95
19,http://www.amazon.com/Phantom-Prey-John-Sandford/dp/0425227987?tag=NYTBS-20,John Sandford,Descr: The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.     ,Putnam,PHANTOM PREY,5b4aa4ead3089013507db1a7,2008-05-31 00:00:00,1213488000000,9,7,4,26.95
20,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20,Chuck Palahniuk,Descr: An aging porn queen aims to cap her career by having sex on film with 600 men in one day.     ,Doubleday,SNUFF,5b4aa4ead3089013507db1a8,2008-05-31 00:00:00,1213488000000,10,5,2,24.95
21,http://www.amazon.com/Shadow-Power-Paul-Madriani-Novel/dp/B001OW5OR2?tag=NYTBS-20,Steve Martini,Descr: The lawyer Paul Madriani searches for a missing letter from Thomas Jefferson that might explain a scholar’s murder.     ,Morrow,SHADOW OF POWER,5b4aa4ead3089013507db1a9,2008-05-31 00:00:00,1213488000000,11,0,1,26.95
22,http://www.amazon.com/Where-Are-You-Now-Novel/dp/1416566384?tag=NYTBS-20,Elizabeth George,"Descr: In Cornwall, trying to recover from his wife’s death, Detective Thomas Lynley becomes involved in a murder investigation.     ",Harper,CARELESS IN RED,5b4aa4ead3089013507db1aa,2008-05-31 00:00:00,1213488000000,12,9,4,27.95
23,http://www.amazon.com/The-Whole-Truth-David-Baldacci/dp/0446539686?tag=NYTBS-20,David Baldacci,Descr: An intelligence agent and a journalist team up against a warmongering defense contractor.     ,Grand Central,THE WHOLE TRUTH,5b4aa4ead3089013507db1ab,2008-05-31 00:00:00,1213488000000,13,10,6,26.99
24,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20,Garth Stein,"Descr: A Lab-terrier mix with great insight into the human condition helps his owner, a struggling race car driver.     ",Harper,THE ART OF RACING IN THE RAIN,5b4aa4ead3089013507db1ac,2008-05-31 00:00:00,1213488000000,14,13,2,23.95
25,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db1b4,2008-06-07 00:00:00,1214092800000,2,2,5,25.99
27,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,Descr: A woman’s happy marriage is shaken when she encounters an old boyfriend.     ,St. Martin’s,LOVE THE ONE YOU'RE WITH,5b4aa4ead3089013507db1b6,2008-06-07 00:00:00,1214092800000,4,4,4,24.95
29,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20,Lauren Weisberger,"Descr: Three glamorous friends, New York women nearing 30, vow to change their lives.     ",Simon & Schuster,CHASING HARRY WINSTON,5b4aa4ead3089013507db1b8,2008-06-07 00:00:00,1214092800000,6,6,2,25.95
32,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20,Chuck Palahniuk,Descr: An aging porn queen aims to have sex on film with 600 men.     ,Doubleday,SNUFF,5b4aa4ead3089013507db1bc,2008-06-07 00:00:00,1214092800000,10,10,3,24.95
33,http://www.amazon.com/Devil-Care-James-Bond-Novel/dp/0385524285?tag=NYTBS-20,Sebastian Faulks,Descr: James Bond tracks a dangerous executive amid cold war tensions with the help of a beautiful girl.     ,Doubleday,DEVIL MAY CARE,5b4aa4ead3089013507db1bd,2008-06-07 00:00:00,1214092800000,11,8,2,24.95
34,http://www.amazon.com/Phantom-Prey-John-Sandford/dp/0425227987?tag=NYTBS-20,John Sandford,Descr: The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.     ,Putnam,PHANTOM PREY,5b4aa4ead3089013507db1be,2008-06-07 00:00:00,1214092800000,12,9,5,26.95
35,http://www.amazon.com/Shadow-Power-Paul-Madriani-Novel/dp/B001OW5OR2?tag=NYTBS-20,Steve Martini,Descr: The lawyer Paul Madriani searches for a missing letter from Thomas Jefferson that might explain a scholar’s murder.     ,Morrow,SHADOW OF POWER,5b4aa4ead3089013507db1bf,2008-06-07 00:00:00,1214092800000,13,11,2,26.95
36,http://www.amazon.com/The-Front-Garano-Patricia-Cornwell-ebook/dp/B0017T0C9M?tag=NYTBS-20,Patricia Cornwell,Descr: A Massachusetts state investigator and his team from “At Risk” confront a rogue association of municipal police departments.     ,Putnam,THE FRONT,5b4aa4ead3089013507db1c0,2008-06-07 00:00:00,1214092800000,14,7,3,22.95
37,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20,Garth Stein,"Descr: A Lab-terrier mix with great insight into the human condition helps his owner, a struggling race car driver.     ",Harper,THE ART OF RACING IN THE RAIN,5b4aa4ead3089013507db1c1,2008-06-07 00:00:00,1214092800000,15,14,3,23.95
39,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db1c9,2008-06-14 00:00:00,1214697600000,3,2,6,25.99
41,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,Descr: A woman’s happy marriage is shaken when she encounters an old boyfriend.     ,St. Martin’s,LOVE THE ONE YOU'RE WITH,5b4aa4ead3089013507db1cb,2008-06-14 00:00:00,1214697600000,5,4,5,24.95
42,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20,Lauren Weisberger,"Descr: Three glamorous friends, New York women nearing 30, vow to change their lives.     ",Simon & Schuster,CHASING HARRY WINSTON,5b4aa4ead3089013507db1cc,2008-06-14 00:00:00,1214697600000,6,6,3,25.95
43,http://www.amazon.com/The-Broken-Window-Lincoln-Rhyme/dp/1416549986?tag=NYTBS-20,Jeffery Deaver,Descr: Detectives Lincoln Rhyme and Amelia Sachs come up against a criminal who uses identity theft to frame innocent people for murdering his victims.     ,Simon & Schuster,THE BROKEN WINDOW,5b4aa4ead3089013507db1cd,2008-06-14 00:00:00,1214697600000,7,0,1,26.95
44,http://www.amazon.com/Married-Lovers-Jackie-Collins/dp/0312341814?tag=NYTBS-20,Jackie Collins,Descr: An affair between a beautiful personal trainer and a producer married to Hollywood royalty leads to ­murder.     ,St. Martin’s,MARRIED LOVERS,5b4aa4ead3089013507db1cf,2008-06-14 00:00:00,1214697600000,9,0,1,26.95
48,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20,Garth Stein,"Descr: A Lab-terrier mix with great insight into the human condition helps his owner, a struggling race car driver.     ",Harper,THE ART OF RACING IN THE RAIN,5b4aa4ead3089013507db1d3,2008-06-14 00:00:00,1214697600000,13,15,4,23.95
49,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A young mute who can communicate with dogs his family raises takes refuge with three of them in the Wisconsin woods after his uncle murders his father.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db1d4,2008-06-14 00:00:00,1214697600000,14,0,1,25.95
50,http://www.amazon.com/Devil-Care-James-Bond-Novel/dp/0385524285?tag=NYTBS-20,Sebastian Faulks,Descr: James Bond tracks a dangerous executive amid cold war tensions with the help of a beautiful girl.     ,Doubleday,DEVIL MAY CARE,5b4aa4ead3089013507db1d5,2008-06-14 00:00:00,1214697600000,15,11,3,24.95
51,http://www.amazon.com/Fearless-Fourteen-Janet-Evanovich/dp/0312349513?tag=NYTBS-20,Janet Evanovich,Descr: Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.     ,St. Martin’s,FEARLESS FOURTEEN,5b4aa4ead3089013507db1db,2008-06-21 00:00:00,1215302400000,1,0,1,27.95
53,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db1dd,2008-06-21 00:00:00,1215302400000,3,3,7,25.99
54,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20,Lauren Weisberger,"Descr: Three glamorous friends, New York women nearing 30, vow to change their lives.     ",Simon & Schuster,CHASING HARRY WINSTON,5b4aa4ead3089013507db1de,2008-06-21 00:00:00,1215302400000,4,6,4,25.95
55,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,Descr: A woman’s happy marriage is shaken.     ,St. Martin’s,LOVE THE ONE YOU'RE WITH,5b4aa4ead3089013507db1df,2008-06-21 00:00:00,1215302400000,5,5,6,24.95
57,http://www.amazon.com/The-Broken-Window-Lincoln-Rhyme/dp/1416549986?tag=NYTBS-20,Jeffery Deaver,Descr: Detectives Lincoln Rhyme and Amelia Sachs confront a criminal who frames innocent people.     ,Simon & Schuster,THE BROKEN WINDOW,5b4aa4ead3089013507db1e2,2008-06-21 00:00:00,1215302400000,8,7,2,26.95
58,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A mute takes refuge with three dogs in the Wisconsin woods after his uncle murders his father.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db1e3,2008-06-21 00:00:00,1215302400000,9,14,2,25.95
59,http://www.amazon.com/Married-Lovers-Jackie-Collins/dp/0312341814?tag=NYTBS-20,Jackie Collins,Descr: An affair between a beautiful personal trainer and a producer married to Hollywood royalty leads to ­murder.     ,St. Martin’s,MARRIED LOVERS,5b4aa4ead3089013507db1e7,2008-06-21 00:00:00,1215302400000,13,9,2,26.95
61,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20,Garth Stein,"Descr: A Lab-terrier mix with great insight into the human condition helps his owner, a struggling race car driver.     ",Harper,THE ART OF RACING IN THE RAIN,5b4aa4ead3089013507db1e9,2008-06-21 00:00:00,1215302400000,15,13,5,23.95
63,http://www.amazon.com/Fearless-Fourteen-Janet-Evanovich/dp/0312349513?tag=NYTBS-20,Janet Evanovich,Descr: Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.     ,St. Martin’s,FEARLESS FOURTEEN,5b4aa4ead3089013507db1ef,2008-06-28 00:00:00,1215907200000,1,1,2,27.95
65,http://www.amazon.com/TailSpin-FBI-Thriller-Catherine-Coulter/dp/051514648X?tag=NYTBS-20,Catherine Coulter,Descr: Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague protecting a Washington psychiatrist who has been disclosing secrets about his powerful patients.     ,Putnam,TAILSPIN,5b4aa4ead3089013507db1f1,2008-06-28 00:00:00,1215907200000,3,0,1,25.95
66,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db1f3,2008-06-28 00:00:00,1215907200000,5,3,8,25.99
67,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A mute takes refuge with three dogs in the Wisconsin woods after his uncle murders his father.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db1f4,2008-06-28 00:00:00,1215907200000,6,9,3,25.95
68,http://www.amazon.com/The-Last-Oracle-Sigma-Force/dp/0061230952?tag=NYTBS-20,James Rollins,Descr: Sigma Force operatives battle a group of rogue scientists.     ,Morrow,THE LAST ORACLE,5b4aa4ead3089013507db1f5,2008-06-28 00:00:00,1215907200000,7,0,1,26.95
69,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20,Lauren Weisberger,"Descr: Three glamorous friends, New York women nearing 30, vow to change their lives.     ",Simon & Schuster,CHASING HARRY WINSTON,5b4aa4ead3089013507db1f6,2008-06-28 00:00:00,1215907200000,8,4,5,25.95
70,http://www.amazon.com/The-Beach-House-A-Novel/dp/0452295386?tag=NYTBS-20,Jane Green,Descr: A woman’s life changes when she rents out rooms in her Nantucket house.     ,"Viking,",THE BEACH HOUSE,5b4aa4ead3089013507db1f7,2008-06-28 00:00:00,1215907200000,9,11,2,24.95
71,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,Descr: A woman’s happy marriage is shaken when she encounters an old boyfriend.     ,St. Martin’s,LOVE THE ONE YOU'RE WITH,5b4aa4ead3089013507db1f8,2008-06-28 00:00:00,1215907200000,10,5,7,24.95
72,http://www.amazon.com/The-Broken-Window-Lincoln-Rhyme/dp/1416549986?tag=NYTBS-20,Jeffery Deaver,Descr: Detectives Lincoln Rhyme and Amelia Sachs confront a criminal who frames innocent people.     ,Simon & Schuster,THE BROKEN WINDOW,5b4aa4ead3089013507db1fa,2008-06-28 00:00:00,1215907200000,No Rank,8,3,26.95
74,http://www.amazon.com/Fearless-Fourteen-Janet-Evanovich/dp/0312349513?tag=NYTBS-20,Janet Evanovich,Descr: Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.     ,St. Martin’s,FEARLESS FOURTEEN,5b4aa4ead3089013507db204,2008-07-05 00:00:00,1216512000000,2,1,3,27.95
76,http://www.amazon.com/TailSpin-FBI-Thriller-Catherine-Coulter/dp/051514648X?tag=NYTBS-20,Catherine Coulter,Descr: Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague.     ,Putnam,TAILSPIN,5b4aa4ead3089013507db206,2008-07-05 00:00:00,1216512000000,4,3,2,25.95
77,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A mute takes refuge with three dogs in the Wisconsin woods after his uncle murders his father.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db207,2008-07-05 00:00:00,1216512000000,5,6,4,25.95
78,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db208,2008-07-05 00:00:00,1216512000000,6,5,9,25.99
79,http://www.amazon.com/Chasing-Darkness-Elvis-Novel-Novels/dp/0743281640?tag=NYTBS-20,Robert Crais,Descr: he Los Angeles private eye Elvis Cole responsible for the release of a serial killer?     ,Simon & Schuster,CHASING DARKNESS,5b4aa4ead3089013507db209,2008-07-05 00:00:00,1216512000000,7,0,1,25.95
80,http://www.amazon.com/The-Beach-House-A-Novel/dp/0452295386?tag=NYTBS-20,Jane Green,Descr: A woman’s life changes when she rents out rooms in her Nantucket house.     ,Viking,THE BEACH HOUSE,5b4aa4ead3089013507db20c,2008-07-05 00:00:00,1216512000000,10,9,3,24.95
81,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,Descr: A woman’s happy marriage is shaken when she encounters an old boyfriend.     ,St. Martin’s,LOVE THE ONE YOU'RE WITH,5b4aa4ead3089013507db20d,2008-07-05 00:00:00,1216512000000,11,10,8,24.95
82,http://www.amazon.com/The-Last-Oracle-Sigma-Force/dp/0061230952?tag=NYTBS-20,James Rollins,Descr: Sigma Force operatives battle a group of rogue scientists.     ,Morrow,THE LAST ORACLE,5b4aa4ead3089013507db20e,2008-07-05 00:00:00,1216512000000,12,7,2,26.95
83,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20,Lauren Weisberger,"Descr: Three glamorous friends, New York women nearing 30, vow to change their lives.     ",Simon & Schuster,CHASING HARRY WINSTON,5b4aa4ead3089013507db20f,2008-07-05 00:00:00,1216512000000,13,8,6,25.95
84,http://www.amazon.com/The-Broken-Window-Lincoln-Rhyme/dp/1416549986?tag=NYTBS-20,Jeffery Deaver,Descr: Detectives Lincoln Rhyme and Amelia Sachs confront a criminal who frames innocent people.     ,Simon & Schuster,THE BROKEN WINDOW,5b4aa4ead3089013507db210,2008-07-05 00:00:00,1216512000000,14,12,4,26.95
85,http://www.amazon.com/Tribute-Nora-Roberts/dp/0515146366?tag=NYTBS-20,Nora Roberts,"Descr: A former child star returns to Virginia to rehabilitate the farm owned by her grandmother, an actress who died mysteriously.     ",Putnam,TRIBUTE,5b4aa4ead3089013507db217,2008-07-12 00:00:00,1217116800000,1,0,1,26.95
86,http://www.amazon.com/Fearless-Fourteen-Janet-Evanovich/dp/0312349513?tag=NYTBS-20,Janet Evanovich,Descr: Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.     ,St. Martin’s,FEARLESS FOURTEEN,5b4aa4ead3089013507db218,2008-07-12 00:00:00,1217116800000,2,2,4,27.95
87,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A mute takes refuge with three dogs in the Wisconsin woods after his father’s murder.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db21a,2008-07-12 00:00:00,1217116800000,4,5,5,25.95
90,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db21d,2008-07-12 00:00:00,1217116800000,7,6,10,25.99
91,http://www.amazon.com/TailSpin-FBI-Thriller-Catherine-Coulter/dp/051514648X?tag=NYTBS-20,Catherine Coulter,Descr: Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague.     ,Putnam,TAILSPIN,5b4aa4ead3089013507db21e,2008-07-12 00:00:00,1217116800000,8,4,3,25.95
92,http://www.amazon.com/The-Beach-House-A-Novel/dp/0452295386?tag=NYTBS-20,Jane Green,Descr: A woman’s life changes when she rents out rooms in her Nantucket house.     ,Viking,THE BEACH HOUSE,5b4aa4ead3089013507db21f,2008-07-12 00:00:00,1217116800000,9,10,4,24.95
93,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,Descr: A woman’s happy marriage is shaken when she encounters an old boyfriend.     ,St. Martin’s,LOVE THE ONE YOU'RE WITH,5b4aa4ead3089013507db220,2008-07-12 00:00:00,1217116800000,10,11,9,24.95
94,http://www.amazon.com/Chasing-Darkness-Elvis-Novel-Novels/dp/0743281640?tag=NYTBS-20,Robert Crais,Descr: Is the Los Angeles private eye Elvis Cole responsible for the release of a serial killer?     ,Simon & Schuster,CHASING DARKNESS,5b4aa4ead3089013507db221,2008-07-12 00:00:00,1217116800000,11,7,2,25.95
95,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20,Lauren Weisberger,"Descr: Three glamorous friends, New York women nearing 30, vow to change their lives.     ",Simon & Schuster,CHASING HARRY WINSTON,5b4aa4ead3089013507db222,2008-07-12 00:00:00,1217116800000,12,13,7,25.95
97,http://www.amazon.com/The-Last-Oracle-Sigma-Force/dp/0061230952?tag=NYTBS-20,James Rollins,Descr: Sigma Force operatives battle a group of rogue scientists.     ,Morrow,THE LAST ORACLE,5b4aa4ead3089013507db226,2008-07-12 00:00:00,1217116800000,16,12,3,26.95
98,http://www.amazon.com/Tribute-Nora-Roberts/dp/0515146366?tag=NYTBS-20,Nora Roberts,"Descr: A former child star returns to Virginia to rehabilitate the farm owned by her grandmother, an actress who died mysteriously.     ",Putnam,TRIBUTE,5b4aa4ead3089013507db22b,2008-07-19 00:00:00,1217721600000,1,1,2,26.95
99,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,David Wroblewski,Descr: A mute takes refuge with three dogs in the Wisconsin woods after his father’s murder.     ,Ecco,THE STORY OF EDGAR SAWTELLE,5b4aa4ead3089013507db22c,2008-07-19 00:00:00,1217721600000,2,4,6,25.95
100,http://www.amazon.com/Rules-Deception-Christopher-Reich/dp/0307387828?tag=NYTBS-20,Christopher Reich,Descr: The death of a surgeon’s wife draws him into a world of espionage and terrorism.     ,Doubleday,RULES OF DECEPTION,5b4aa4ead3089013507db22d,2008-07-19 00:00:00,1217721600000,3,0,1,27.95
101,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Descr: Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.     ","Little, Brown",THE HOST,5b4aa4ead3089013507db22e,2008-07-19 00:00:00,1217721600000,4,7,11,25.99
103,http://www.amazon.com/Fearless-Fourteen-Janet-Evanovich/dp/0312349513?tag=NYTBS-20,Janet Evanovich,Descr: Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.     ,St. Martin’s,FEARLESS FOURTEEN,5b4aa4ead3089013507db231,2008-07-19 00:00:00,1217721600000,7,2,5,27.95
106,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20,Lauren Weisberger,"Descr: Three glamorous friends, New York women nearing 30, vow to change their lives.     ",Simon & Schuster,CHASING HARRY WINSTON,5b4aa4ead3089013507db234,2008-07-19 00:00:00,1217721600000,10,12,8,25.95
107,http://www.amazon.com/TailSpin-FBI-Thriller-Catherine-Coulter/dp/051514648X?tag=NYTBS-20,Catherine Coulter,Descr: Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague.     ,Putnam,TAILSPIN,5b4aa4ead3089013507db235,2008-07-19 00:00:00,1217721600000,11,8,4,25.95
